encoder,training_set,test_set,ISUP,c_index,n,n_events
Prost40M,RUMC-only,RUMC,1,0.4322033898305085,49,5
Prost40M,RUMC-only,RUMC,2,0.5633802816901409,25,6
UNI,RUMC-only,RUMC,1,0.5254237288135594,49,5
UNI,RUMC-only,RUMC,2,0.4225352112676056,25,6
Virchow2,RUMC-only,RUMC,1,0.5084745762711864,49,5
Virchow2,RUMC-only,RUMC,2,0.49295774647887325,25,6
H-optimus-0,RUMC-only,RUMC,1,0.4915254237288136,49,5
H-optimus-0,RUMC-only,RUMC,2,0.5915492957746479,25,6
Prost40M,RUMC-only,PLCO,1,0.4884780278670954,292,18
Prost40M,RUMC-only,PLCO,2,0.5209158960810216,260,45
Prost40M,RUMC-only,PLCO,3,0.4895833333333333,58,21
Prost40M,RUMC-only,PLCO,4,0.6088082901554405,52,21
Prost40M,RUMC-only,PLCO,5,0.5779967159277504,61,30
UNI,RUMC-only,PLCO,1,0.6136120042872455,292,18
UNI,RUMC-only,PLCO,2,0.5887274328489652,260,45
UNI,RUMC-only,PLCO,3,0.5532407407407407,58,21
UNI,RUMC-only,PLCO,4,0.5764248704663213,52,21
UNI,RUMC-only,PLCO,5,0.5804597701149425,61,30
Virchow2,RUMC-only,PLCO,1,0.6112004287245445,292,18
Virchow2,RUMC-only,PLCO,2,0.6272567151034787,260,45
Virchow2,RUMC-only,PLCO,3,0.5601851851851852,58,21
Virchow2,RUMC-only,PLCO,4,0.6126943005181347,52,21
Virchow2,RUMC-only,PLCO,5,0.5845648604269293,61,30
H-optimus-0,RUMC-only,PLCO,1,0.48740621650589494,292,18
H-optimus-0,RUMC-only,PLCO,2,0.5310435931307794,260,45
H-optimus-0,RUMC-only,PLCO,3,0.5196759259259259,58,21
H-optimus-0,RUMC-only,PLCO,4,0.5492227979274611,52,21
H-optimus-0,RUMC-only,PLCO,5,0.5911330049261084,61,30
Prost40M,RUMC-only,IMP,1,0.5488215488215489,137,9
Prost40M,RUMC-only,IMP,2,0.461158331686104,153,38
Prost40M,RUMC-only,IMP,3,0.4209021601016518,95,44
UNI,RUMC-only,IMP,1,0.5858585858585859,137,9
UNI,RUMC-only,IMP,2,0.5906305593990907,153,38
UNI,RUMC-only,IMP,3,0.5803684879288437,95,44
Virchow2,RUMC-only,IMP,1,0.6792929292929293,137,9
Virchow2,RUMC-only,IMP,2,0.6378730974500889,153,38
Virchow2,RUMC-only,IMP,3,0.5873570520965693,95,44
H-optimus-0,RUMC-only,IMP,1,0.6430976430976431,137,9
H-optimus-0,RUMC-only,IMP,2,0.6050602885945839,153,38
H-optimus-0,RUMC-only,IMP,3,0.514294790343075,95,44
Prost40M,RUMC-only,UHC,2,0.64453125,127,11
Prost40M,RUMC-only,UHC,3,0.48713119899560575,86,29
Prost40M,RUMC-only,UHC,5,0.5269368907131863,74,43
UNI,RUMC-only,UHC,2,0.626953125,127,11
UNI,RUMC-only,UHC,3,0.5856873822975518,86,29
UNI,RUMC-only,UHC,5,0.4987172909184197,74,43
Virchow2,RUMC-only,UHC,2,0.6318359375,127,11
Virchow2,RUMC-only,UHC,3,0.6001255492780917,86,29
Virchow2,RUMC-only,UHC,5,0.4987172909184197,74,43
H-optimus-0,RUMC-only,UHC,2,0.5947265625,127,11
H-optimus-0,RUMC-only,UHC,3,0.5725047080979284,86,29
H-optimus-0,RUMC-only,UHC,5,0.47255002565418164,74,43
Prost40M,RUMC+TCGA,RUMC,1,0.5932203389830508,49,5
Prost40M,RUMC+TCGA,RUMC,2,0.6619718309859155,25,6
UNI,RUMC+TCGA,RUMC,1,0.4406779661016949,49,5
UNI,RUMC+TCGA,RUMC,2,0.5492957746478874,25,6
Virchow2,RUMC+TCGA,RUMC,1,0.6694915254237288,49,5
Virchow2,RUMC+TCGA,RUMC,2,0.5492957746478874,25,6
H-optimus-0,RUMC+TCGA,RUMC,1,0.5169491525423728,49,5
H-optimus-0,RUMC+TCGA,RUMC,2,0.4647887323943662,25,6
Prost40M,RUMC+TCGA,PLCO,1,0.617631296891747,292,18
Prost40M,RUMC+TCGA,PLCO,2,0.6145970937912814,260,45
Prost40M,RUMC+TCGA,PLCO,3,0.6296296296296297,58,21
Prost40M,RUMC+TCGA,PLCO,4,0.5958549222797928,52,21
Prost40M,RUMC+TCGA,PLCO,5,0.5640394088669951,61,30
UNI,RUMC+TCGA,PLCO,1,0.5482315112540193,292,18
UNI,RUMC+TCGA,PLCO,2,0.5484368119771026,260,45
UNI,RUMC+TCGA,PLCO,3,0.5810185185185185,58,21
UNI,RUMC+TCGA,PLCO,4,0.6800518134715026,52,21
UNI,RUMC+TCGA,PLCO,5,0.5238095238095238,61,30
Virchow2,RUMC+TCGA,PLCO,1,0.5506430868167203,292,18
Virchow2,RUMC+TCGA,PLCO,2,0.4827168648172611,260,45
Virchow2,RUMC+TCGA,PLCO,3,0.5914351851851852,58,21
Virchow2,RUMC+TCGA,PLCO,4,0.6230569948186528,52,21
Virchow2,RUMC+TCGA,PLCO,5,0.5623973727422004,61,30
H-optimus-0,RUMC+TCGA,PLCO,1,0.6588960342979635,292,18
H-optimus-0,RUMC+TCGA,PLCO,2,0.4653236459709379,260,45
H-optimus-0,RUMC+TCGA,PLCO,3,0.5821759259259259,58,21
H-optimus-0,RUMC+TCGA,PLCO,4,0.6062176165803109,52,21
H-optimus-0,RUMC+TCGA,PLCO,5,0.5541871921182266,61,30
Prost40M,RUMC+TCGA,IMP,1,0.6422558922558923,137,9
Prost40M,RUMC+TCGA,IMP,2,0.7009290373591619,153,38
Prost40M,RUMC+TCGA,IMP,3,0.6407242693773825,95,44
UNI,RUMC+TCGA,IMP,1,0.4772727272727273,137,9
UNI,RUMC+TCGA,IMP,2,0.6876853133030243,153,38
UNI,RUMC+TCGA,IMP,3,0.5787801778907242,95,44
Virchow2,RUMC+TCGA,IMP,1,0.7222222222222222,137,9
Virchow2,RUMC+TCGA,IMP,2,0.6337220794623444,153,38
Virchow2,RUMC+TCGA,IMP,3,0.6216645489199492,95,44
H-optimus-0,RUMC+TCGA,IMP,1,0.6936026936026936,137,9
H-optimus-0,RUMC+TCGA,IMP,2,0.4937734730183831,153,38
H-optimus-0,RUMC+TCGA,IMP,3,0.45584498094027953,95,44
Prost40M,RUMC+TCGA,UHC,2,0.576171875,127,11
Prost40M,RUMC+TCGA,UHC,3,0.5988700564971752,86,29
Prost40M,RUMC+TCGA,UHC,5,0.581836839404823,74,43
UNI,RUMC+TCGA,UHC,2,0.55078125,127,11
UNI,RUMC+TCGA,UHC,3,0.5844318895166353,86,29
UNI,RUMC+TCGA,UHC,5,0.5772190867111339,74,43
Virchow2,RUMC+TCGA,UHC,2,0.59375,127,11
Virchow2,RUMC+TCGA,UHC,3,0.6013810420590081,86,29
Virchow2,RUMC+TCGA,UHC,5,0.6146741918932787,74,43
H-optimus-0,RUMC+TCGA,UHC,2,0.548828125,127,11
H-optimus-0,RUMC+TCGA,UHC,3,0.6076585059635907,86,29
H-optimus-0,RUMC+TCGA,UHC,5,0.5715751667521806,74,43
