cohort,train_setting,encoder,c_index,ci_low,ci_high,n
IMP,RUMC,H-optimus-0,0.6310118330094221,0.5782172067927787,0.6831364432322324,421
IMP,RUMC,Prost40M,0.4622991955521661,0.4044094003774522,0.5221633642783133,421
IMP,RUMC,UNI,0.6674948953233781,0.6182539656119118,0.7156368251190579,421
IMP,RUMC,Virchow2,0.7073236733990996,0.6603976230285208,0.7530863369127282,421
IMP,RUMC+TCGA,H-optimus-0,0.5631134837265369,0.5133276938975165,0.6120719368265016,421
IMP,RUMC+TCGA,Prost40M,0.7003862333636743,0.6566320365942099,0.7444925335020754,421
IMP,RUMC+TCGA,UNI,0.6693891608649659,0.6168742265778039,0.7212458289651774,421
IMP,RUMC+TCGA,Virchow2,0.7073728751014785,0.6573945947735674,0.7547308541325023,421
PLCO,RUMC,H-optimus-0,0.6289378996142994,0.5755691318710973,0.6811085615176927,723
PLCO,RUMC,Prost40M,0.6043850793404261,0.5513737845473192,0.6519777137673006,723
PLCO,RUMC,UNI,0.693626879966866,0.6493362700124448,0.7367908166545347,723
PLCO,RUMC,Virchow2,0.7420077140120629,0.7027222394008253,0.7801716303286137,723
PLCO,RUMC+TCGA,H-optimus-0,0.6505785509047138,0.6026807659632919,0.6947538197629893,723
PLCO,RUMC+TCGA,Prost40M,0.7108928062954621,0.6702700251022631,0.7514300456575742,723
PLCO,RUMC+TCGA,UNI,0.67351349952111,0.6234441949640219,0.7222049124982595,723
PLCO,RUMC+TCGA,Virchow2,0.6750407703657684,0.625720198768847,0.7220089830154246,723
RUMC,RUMC,H-optimus-0,0.6883928571428571,0.5626160061516013,0.8054676178358429,100
RUMC,RUMC,Prost40M,0.6857142857142857,0.5555522447357966,0.8056213608001027,100
RUMC,RUMC,UNI,0.7026785714285714,0.5481597241116613,0.8378881928132546,100
RUMC,RUMC,Virchow2,0.7169642857142857,0.5706100543139229,0.8473377288694912,100
RUMC,RUMC+TCGA,H-optimus-0,0.6714285714285714,0.532488682847876,0.801161841918547,100
RUMC,RUMC+TCGA,Prost40M,0.7598214285714285,0.6359400129902264,0.8684908914845972,100
RUMC,RUMC+TCGA,UNI,0.7089285714285715,0.5741067269299024,0.8281631280801812,100
RUMC,RUMC+TCGA,Virchow2,0.7669642857142858,0.6317685424537681,0.8816943989518506,100
UHC,RUMC,H-optimus-0,0.6479522783096897,0.590387941917238,0.7032404202287682,330
UHC,RUMC,Prost40M,0.6628903704446338,0.6082331824965714,0.7171064278555777,330
UHC,RUMC,UNI,0.6745200260664695,0.6175898776592572,0.7295995481463541,330
UHC,RUMC,Virchow2,0.7005363677377312,0.647105516012849,0.7515431747029706,330
UHC,RUMC+TCGA,H-optimus-0,0.6859992982104366,0.6239984830528561,0.7415817759695932,330
UHC,RUMC+TCGA,Prost40M,0.6939696225374705,0.6307026310019278,0.7527305039590942,330
UHC,RUMC+TCGA,UNI,0.6883553060303774,0.6250679318053525,0.7455759691123988,330
UHC,RUMC+TCGA,Virchow2,0.7349741841696326,0.6809598348740172,0.7860689739307781,330
