cohort,encoder,n,delta,ci_low,ci_high,p,q
IMP,H-optimus-0,421,-0.06789834928288518,-0.13011362554711475,-0.005621681394059715,0.0325,0.10400000000000001
IMP,Prost40M,421,0.23808703781150825,0.1588459682859047,0.3176869047686519,0.0,0.0
IMP,UNI,421,0.0018942655415877807,-0.05049757103579071,0.052847057326635645,0.9335,0.993
IMP,Virchow2,421,4.9201702378876e-05,-0.03190274943728876,0.03148959942764299,0.993,0.993
PLCO,H-optimus-0,723,0.02164065129041448,-0.031099271185830044,0.07226255666346951,0.414,0.6021818181818182
PLCO,Prost40M,723,0.10650772695503608,0.05247745838629563,0.1609921191146261,0.0,0.0
PLCO,UNI,723,-0.020113380445756057,-0.06393464071727763,0.021330838684017372,0.353,0.5648
PLCO,Virchow2,723,-0.06696694364629452,-0.1034550583007842,-0.032841650061367134,0.0,0.0
RUMC,H-optimus-0,100,-0.016964285714285765,-0.11216898238032812,0.07482466550776477,0.708,0.8713846153846153
RUMC,Prost40M,100,0.07410714285714282,0.02295663265306122,0.13567500628970636,0.002,0.008
RUMC,UNI,100,0.006250000000000089,-0.06011523188564688,0.06747073587970154,0.866,0.9897142857142857
RUMC,Virchow2,100,0.050000000000000044,-0.019272775375559027,0.13886770702289397,0.19,0.38
UHC,H-optimus-0,330,0.03804701990074688,-0.011943195281844534,0.08399480949136963,0.1325,0.3028571428571429
UHC,Prost40M,330,0.031079252092836684,-0.024158820860292952,0.08258539197478756,0.26,0.46222222222222226
UHC,UNI,330,0.013835279963907876,-0.039766470439608424,0.0639966187323719,0.5925,0.79
UHC,Virchow2,330,0.03443781643190136,-9.931041508909055e-05,0.06836078927478219,0.052,0.13866666666666666
