test_set,training_set,encoder,capra_s_c_index,model_c_index,ens_c_index,combined_c_index_avg,combined_c_index_ens,ens_hr_95_ci,ens_p_value
RUMC,rumc,Prost40M,0.725,0.646 ± 0.062,0.686,0.746 ± 0.009,0.754,1.50 (1.05–2.15),0.0278
RUMC,rumc,UNI,0.725,0.676 ± 0.030,0.703,0.740 ± 0.006,0.739,1.31 (0.93–1.85),0.1217
RUMC,rumc,Virchow2,0.725,0.692 ± 0.040,0.717,0.746 ± 0.008,0.759,1.50 (1.04–2.17),0.0301
RUMC,rumc,H-optimus-0,0.725,0.674 ± 0.025,0.688,0.736 ± 0.003,0.733,1.17 (0.86–1.60),0.3272
PLCO,rumc,Prost40M,0.761,0.573 ± 0.035,0.604,0.764 ± 0.001,0.766,1.07 (0.98–1.17),0.1206
PLCO,rumc,UNI,0.761,0.679 ± 0.009,0.694,0.767 ± 0.002,0.769,1.26 (1.11–1.43),0.0004
PLCO,rumc,Virchow2,0.761,0.701 ± 0.030,0.742,0.773 ± 0.005,0.778,1.27 (1.13–1.43),0.0000
PLCO,rumc,H-optimus-0,0.761,0.641 ± 0.045,0.629,0.765 ± 0.004,0.763,1.18 (1.04–1.32),0.0072
IMP,rumc,Prost40M,0.772,0.496 ± 0.056,0.462,0.773 ± 0.001,0.771,0.88 (0.75–1.03),0.1230
IMP,rumc,UNI,0.772,0.605 ± 0.088,0.667,0.775 ± 0.004,0.775,1.05 (0.92–1.20),0.4973
IMP,rumc,Virchow2,0.772,0.663 ± 0.058,0.707,0.777 ± 0.007,0.779,1.17 (1.01–1.36),0.0370
IMP,rumc,H-optimus-0,0.772,0.619 ± 0.061,0.631,0.775 ± 0.004,0.774,1.10 (0.93–1.29),0.2705
UHC,rumc,Prost40M,0.747,0.626 ± 0.043,0.663,0.748 ± 0.004,0.750,1.04 (0.93–1.16),0.5283
UHC,rumc,UNI,0.747,0.629 ± 0.048,0.675,0.747 ± 0.001,0.748,1.20 (1.00–1.44),0.0519
UHC,rumc,Virchow2,0.747,0.671 ± 0.040,0.701,0.747 ± 0.002,0.747,1.26 (1.04–1.54),0.0184
UHC,rumc,H-optimus-0,0.747,0.625 ± 0.032,0.648,0.745 ± 0.002,0.746,1.08 (0.90–1.29),0.4116
RUMC,rumc+tcga,Prost40M,0.725,0.717 ± 0.019,0.760,0.771 ± 0.017,0.788,1.80 (1.27–2.56),0.0010
RUMC,rumc+tcga,UNI,0.725,0.663 ± 0.024,0.709,0.753 ± 0.017,0.772,1.61 (1.12–2.29),0.0094
RUMC,rumc+tcga,Virchow2,0.725,0.705 ± 0.073,0.767,0.758 ± 0.020,0.774,1.61 (1.14–2.26),0.0062
RUMC,rumc+tcga,H-optimus-0,0.725,0.647 ± 0.030,0.671,0.742 ± 0.010,0.744,1.44 (1.01–2.06),0.0427
PLCO,rumc+tcga,Prost40M,0.761,0.685 ± 0.031,0.711,0.774 ± 0.006,0.779,1.32 (1.15–1.52),0.0001
PLCO,rumc+tcga,UNI,0.761,0.647 ± 0.072,0.674,0.769 ± 0.012,0.767,1.29 (1.12–1.49),0.0004
PLCO,rumc+tcga,Virchow2,0.761,0.655 ± 0.039,0.675,0.765 ± 0.008,0.765,1.25 (1.10–1.43),0.0009
PLCO,rumc+tcga,H-optimus-0,0.761,0.646 ± 0.037,0.651,0.768 ± 0.004,0.770,1.17 (1.03–1.33),0.0156
IMP,rumc+tcga,Prost40M,0.772,0.663 ± 0.057,0.700,0.783 ± 0.010,0.788,1.21 (1.05–1.39),0.0083
IMP,rumc+tcga,UNI,0.772,0.583 ± 0.086,0.669,0.775 ± 0.005,0.779,1.07 (0.95–1.20),0.2595
IMP,rumc+tcga,Virchow2,0.772,0.621 ± 0.070,0.707,0.775 ± 0.004,0.779,1.02 (0.90–1.16),0.7545
IMP,rumc+tcga,H-optimus-0,0.772,0.576 ± 0.071,0.563,0.776 ± 0.006,0.775,0.89 (0.76–1.04),0.1543
UHC,rumc+tcga,Prost40M,0.747,0.682 ± 0.023,0.694,0.750 ± 0.005,0.749,1.31 (1.07–1.62),0.0101
UHC,rumc+tcga,UNI,0.747,0.674 ± 0.032,0.688,0.754 ± 0.008,0.753,1.29 (1.08–1.53),0.0045
UHC,rumc+tcga,Virchow2,0.747,0.713 ± 0.024,0.735,0.757 ± 0.003,0.760,1.52 (1.25–1.84),0.0000
UHC,rumc+tcga,H-optimus-0,0.747,0.663 ± 0.020,0.686,0.749 ± 0.004,0.752,1.23 (1.05–1.45),0.0128
